"unit","urban","age","gender","freq"
2,2,1,1,7217
2,2,1,2,6773
2,2,2,1,10202
2,2,2,2,9574
2,2,3,1,14082
2,2,3,2,13215
2,2,4,1,12478
2,2,4,2,11710
2,1,1,1,55719
2,1,1,2,52290
2,1,2,1,78758
2,1,2,2,73911
2,1,3,1,108716
2,1,3,2,102025
2,1,4,1,96329
2,1,4,2,90400
26,2,1,1,4523
26,2,1,2,4169
26,2,2,1,5044
26,2,2,2,4649
26,2,3,1,7962
26,2,3,2,7340
26,2,4,1,7145
26,2,4,2,6586
26,1,1,1,30988
26,1,1,2,28564
26,1,2,1,34558
26,1,2,2,31855
26,1,3,1,54554
26,1,3,2,50287
26,1,4,1,48955
26,1,4,2,45125
9,2,1,1,50274
9,2,1,2,48568
9,2,2,1,70919
9,2,2,2,68512
9,2,3,1,120963
9,2,3,2,116859
9,2,4,1,100273
9,2,4,2,96871
9,1,1,1,95002
9,1,1,2,91779
9,1,2,1,134015
9,1,2,2,129468
9,1,3,1,228583
9,1,3,2,220827
9,1,4,1,189485
9,1,4,2,183056
22,2,1,1,31793
22,2,1,2,30196
22,2,2,1,41629
22,2,2,2,39538
22,2,3,1,50775
22,2,3,2,48224
22,2,4,1,43698
22,2,4,2,41503
22,1,1,1,63372
22,1,1,2,60188
22,1,2,1,82978
22,1,2,2,78808
22,1,3,1,101207
22,1,3,2,96122
22,1,4,1,87102
22,1,4,2,82725
18,2,1,1,12552
18,2,1,2,11715
18,2,2,1,17605
18,2,2,2,16431
18,2,3,1,26168
18,2,3,2,24423
18,2,4,1,24729
18,2,4,2,23081
18,1,1,1,37774
18,1,1,2,35255
18,1,2,1,52980
18,1,2,2,49447
18,1,3,1,78750
18,1,3,2,73499
18,1,4,1,74420
18,1,4,2,69459
17,2,1,1,16331
17,2,1,2,15651
17,2,2,1,20055
17,2,2,2,19221
17,2,3,1,32384
17,2,3,2,31037
17,2,4,1,28520
17,2,4,2,27333
17,1,1,1,69253
17,1,1,2,66371
17,1,2,1,85046
17,1,2,2,81508
17,1,3,1,137328
17,1,3,2,131614
17,1,4,1,120942
17,1,4,2,115910
14,2,1,1,12031
14,2,1,2,11982
14,2,2,1,15095
14,2,2,2,15034
14,2,3,1,24748
14,2,3,2,24648
14,2,4,1,20494
14,2,4,2,20412
14,1,1,1,32605
14,1,1,2,32474
14,1,2,1,40910
14,1,2,2,40745
14,1,3,1,67071
14,1,3,2,66801
14,1,4,1,55543
14,1,4,2,55319
11,2,1,1,18000
11,2,1,2,17737
11,2,2,1,20194
11,2,2,2,19899
11,2,3,1,32705
11,2,3,2,32228
11,2,4,1,30764
11,2,4,2,30315
11,1,1,1,45913
11,1,1,2,45243
11,1,2,1,51508
11,1,2,2,50756
11,1,3,1,83420
11,1,3,2,82203
11,1,4,1,78470
11,1,4,2,77324
24,2,1,1,7612
24,2,1,2,6764
24,2,2,1,11101
24,2,2,2,9864
24,2,3,1,13957
24,2,3,2,12403
24,2,4,1,11814
24,2,4,2,10499
24,1,1,1,69787
24,1,1,2,62016
24,1,2,1,101775
24,1,2,2,90443
24,1,3,1,127969
24,1,3,2,113720
24,1,4,1,108317
24,1,4,2,96256
15,2,1,1,35620
15,2,1,2,33273
15,2,2,1,49819
15,2,2,2,46536
15,2,3,1,72431
15,2,3,2,67657
15,2,4,1,52491
15,2,4,2,49032
15,1,1,1,164088
15,1,1,2,153274
15,1,2,1,229494
15,1,2,2,214370
15,1,3,1,333658
15,1,3,2,311669
15,1,4,1,241803
15,1,4,2,225868
29,2,1,1,38397
29,2,1,2,33113
29,2,2,1,51209
29,2,2,2,44163
29,2,3,1,66446
29,2,3,2,57304
29,2,4,1,54381
29,2,4,2,46898
29,1,1,1,160310
29,1,1,2,138252
29,1,2,1,213804
29,1,2,2,184385
29,1,3,1,277420
29,1,3,2,239248
29,1,4,1,227045
29,1,4,2,195804
1,2,1,1,50845
1,2,1,2,50170
1,2,2,1,70062
1,2,2,2,69132
1,2,3,1,85293
1,2,3,2,84161
1,2,4,1,62793
1,2,4,2,61959
1,1,1,1,94608
1,1,1,2,93352
1,1,2,1,130365
1,1,2,2,128635
1,1,3,1,158706
1,1,3,2,156599
1,1,4,1,116840
1,1,4,2,115289
3,2,1,1,22312
3,2,1,2,20917
3,2,2,1,31014
3,2,2,2,29074
3,2,3,1,44507
3,2,3,2,41723
3,2,4,1,37640
3,2,4,2,35286
3,1,1,1,75190
3,1,1,2,70486
3,1,2,1,104513
3,1,2,2,97975
3,1,3,1,149981
3,1,3,2,140600
3,1,4,1,126843
3,1,4,2,118909
16,2,1,1,56050
16,2,1,2,53262
16,2,2,1,52927
16,2,2,2,50294
16,2,3,1,71977
16,2,3,2,68396
16,2,4,1,58587
16,2,4,2,55672
16,1,1,1,90978
16,1,1,2,86452
16,1,2,1,85909
16,1,2,2,81635
16,1,3,1,116830
16,1,3,2,111018
16,1,4,1,95096
16,1,4,2,90365
21,2,1,1,65315
21,2,1,2,61905
21,2,2,1,62927
21,2,2,2,59642
21,2,3,1,133872
21,2,3,2,126884
21,2,4,1,101898
21,2,4,2,96578
21,1,1,1,165486
21,1,1,2,156847
21,1,2,1,159434
21,1,2,2,151111
21,1,3,1,339186
21,1,3,2,321480
21,1,4,1,258174
21,1,4,2,244696
10,2,1,1,87337
10,2,1,2,89724
10,2,2,1,95985
10,2,2,2,98609
10,2,3,1,153751
10,2,3,2,157954
10,2,4,1,102709
10,2,4,2,105517
10,1,1,1,153048
10,1,1,2,157231
10,1,2,1,168202
10,1,2,2,172800
10,1,3,1,269430
10,1,3,2,276795
10,1,4,1,179986
10,1,4,2,184906
12,2,1,1,48268
12,2,1,2,44612
12,2,2,1,71565
12,2,2,2,66145
12,2,3,1,98318
12,2,3,2,90871
12,2,4,1,73122
12,2,4,2,67583
12,1,1,1,95227
12,1,1,2,88014
12,1,2,1,141189
12,1,2,2,130494
12,1,3,1,193968
12,1,3,2,179276
12,1,4,1,144260
12,1,4,2,133333
13,2,1,1,62358
13,2,1,2,60991
13,2,2,1,63728
13,2,2,2,62331
13,2,3,1,111855
13,2,3,2,109402
13,2,4,1,88618
13,2,4,2,86675
13,1,1,1,106466
13,1,1,2,104131
13,1,2,1,108805
13,1,2,2,106419
13,1,3,1,190972
13,1,3,2,186784
13,1,4,1,151300
13,1,4,2,147981
5,2,1,1,86990
5,2,1,2,72633
5,2,2,1,110105
5,2,2,2,91933
5,2,3,1,124421
5,2,3,2,103887
5,2,4,1,103942
5,2,4,2,86787
5,1,1,1,405836
5,1,1,2,338856
5,1,2,1,513677
5,1,2,2,428899
5,1,3,1,580465
5,1,3,2,484664
5,1,4,1,484924
5,1,4,2,404891
6,2,1,1,38190
6,2,1,2,35645
6,2,2,1,42464
6,2,2,2,39634
6,2,3,1,64178
6,2,3,2,59901
6,2,4,1,62695
6,2,4,2,58516
6,1,1,1,68199
6,1,1,2,63653
6,1,2,1,75831
6,1,2,2,70777
6,1,3,1,114607
6,1,3,2,106969
6,1,4,1,111958
6,1,4,2,104496
8,2,1,1,10134
8,2,1,2,8790
8,2,2,1,13970
8,2,2,2,12117
8,2,3,1,16061
8,2,3,2,13931
8,2,4,1,15092
8,2,4,2,13090
8,1,1,1,18321
8,1,1,2,15891
8,1,2,1,25258
8,1,2,2,21908
8,1,3,1,29037
8,1,3,2,25186
8,1,4,1,27285
8,1,4,2,23666
30,2,1,1,20854
30,2,1,2,20482
30,2,2,1,23607
30,2,2,2,23186
30,2,3,1,27611
30,2,3,2,27118
30,2,4,1,20180
30,2,4,2,19820
30,1,1,1,76577
30,1,1,2,75209
30,1,2,1,86686
30,1,2,2,85137
30,1,3,1,101388
30,1,3,2,99577
30,1,4,1,74101
30,1,4,2,72777
25,2,1,1,97571
25,2,1,2,95237
25,2,2,1,111943
25,2,2,2,109265
25,2,3,1,134947
25,2,3,2,131719
25,2,4,1,94713
25,2,4,2,92447
25,1,1,1,158792
25,1,1,2,154993
25,1,2,1,182181
25,1,2,2,177822
25,1,3,1,219619
25,1,3,2,214365
25,1,4,1,154139
25,1,4,2,150452
7,2,1,1,42990
7,2,1,2,41981
7,2,2,1,41891
7,2,2,2,40908
7,2,3,1,48784
7,2,3,2,47639
7,2,4,1,40891
7,2,4,2,39932
7,1,1,1,72108
7,1,1,2,70417
7,1,2,1,70264
7,1,2,2,68616
7,1,3,1,81826
7,1,3,2,79907
7,1,4,1,68588
7,1,4,2,66979
28,2,1,1,80687
28,2,1,2,72563
28,2,2,1,82256
28,2,2,2,73974
28,2,3,1,99143
28,2,3,2,89161
28,2,4,1,85168
28,2,4,2,76593
28,1,1,1,89438
28,1,1,2,80433
28,1,2,1,91177
28,1,2,2,81997
28,1,3,1,109895
28,1,3,2,98831
28,1,4,1,94404
28,1,4,2,84899
31,2,1,1,7840
31,2,1,2,6874
31,2,2,1,10130
31,2,2,2,8882
31,2,3,1,11276
31,2,3,2,9887
31,2,4,1,9577
31,2,4,2,8397
31,1,1,1,4583
31,1,1,2,4018
31,1,2,1,5921
31,1,2,2,5192
31,1,3,1,6591
31,1,3,2,5779
31,1,4,1,5598
31,1,4,2,4908
23,2,1,1,28102
23,2,1,2,27189
23,2,2,1,39190
23,2,2,2,37917
23,2,3,1,54508
23,2,3,2,52738
23,2,4,1,42030
23,2,4,2,40664
23,1,1,1,63826
23,1,1,2,61752
23,1,2,1,89008
23,1,2,2,86117
23,1,3,1,123800
23,1,3,2,119778
23,1,4,1,95458
23,1,4,2,92357
4,2,1,1,22950
4,2,1,2,23609
4,2,2,1,29716
4,2,2,2,30570
4,2,3,1,36736
4,2,3,2,37791
4,2,4,1,29113
4,2,4,2,29949
