"","variable","mean","sd","q5","q95","rhat","ess_bulk"
"1","lp__",-1707.16,6.87,-1718.81,-1696.22,1,771.69
"2","alpha",-0.22,1.67,-2.94,2.56,1,1794.75
"3","psi",0.14,0.2,-0.19,0.46,1,1278.1
"4","eta",0.02,0.1,-0.14,0.18,1,1217.68
"5","sigma_beta",0.32,0.08,0.21,0.47,1,1007.38
"6","sigma_gamma",0.36,0.42,0.07,1.05,1.01,516.17
"7","sigma_delta",0.47,1.28,0.01,1.69,1,2956.89
"8","sigma_epsilon",0.71,1.23,0.09,2.17,1,3911.82
"9","sigma_zeta",0.25,0.29,0.02,0.75,1.01,786.19
"10","beta[1]",0.12,0.25,-0.28,0.53,1,2179.07
"11","beta[2]",-0.13,0.21,-0.49,0.21,1,2707.82
"12","beta[3]",-0.39,0.23,-0.79,-0.03,1,2708.14
"13","beta[4]",-0.05,0.25,-0.46,0.36,1,3613.99
"14","beta[5]",-0.15,0.22,-0.52,0.2,1,3638.59
"15","beta[6]",-0.11,0.2,-0.45,0.22,1,3611.97
"16","beta[7]",0.2,0.26,-0.22,0.65,1,5225.73
"17","beta[8]",0,0.34,-0.56,0.55,1,4506
"18","beta[9]",-0.03,0.22,-0.4,0.33,1,2786.88
"19","beta[10]",0.18,0.19,-0.13,0.51,1,3339.81
"20","beta[11]",-0.14,0.19,-0.45,0.18,1,2661.9
"21","beta[12]",-0.24,0.2,-0.59,0.07,1,2555.74
"22","beta[13]",-0.19,0.2,-0.53,0.13,1,2334.72
"23","beta[14]",0.26,0.22,-0.08,0.63,1,3608.7
"24","beta[15]",-0.11,0.19,-0.42,0.21,1,3673.67
"25","beta[16]",-0.26,0.2,-0.6,0.05,1,2778.79
"26","beta[17]",0.23,0.23,-0.12,0.62,1,3009.58
"27","beta[18]",0.31,0.28,-0.11,0.8,1,3360.55
"28","beta[19]",0.12,0.3,-0.35,0.63,1,4641.1
"29","beta[20]",0.19,0.31,-0.28,0.73,1,3300.22
"30","beta[21]",0.54,0.21,0.21,0.9,1,2912.72
"31","beta[22]",0.15,0.23,-0.21,0.53,1,3916.84
"32","beta[23]",-0.06,0.2,-0.39,0.26,1,3538.5
"33","beta[24]",0.15,0.17,-0.12,0.42,1,2599.56
"34","beta[25]",-0.06,0.19,-0.37,0.24,1,2467.6
"35","beta[26]",0.08,0.23,-0.29,0.46,1,1947.06
"36","beta[27]",0,0.33,-0.54,0.53,1,4217.57
"37","beta[28]",0.02,0.22,-0.35,0.39,1,3267.27
"38","beta[29]",-0.16,0.21,-0.5,0.18,1,3360.12
"39","beta[30]",-0.51,0.22,-0.9,-0.16,1,1986.41
"40","beta[31]",0,0.34,-0.56,0.55,1,3886.88
"41","gamma[1]",-0.16,0.39,-0.55,0.21,1.01,377.24
"42","gamma[2]",-0.02,0.39,-0.4,0.38,1.01,386.32
"43","gamma[3]",0.12,0.39,-0.23,0.53,1.01,382.05
"44","delta_raw[1]",-0.03,0.04,-0.1,0.03,1,3731.97
"45","epsilon_raw[1]",0.16,0.05,0.07,0.24,1,3983.09
"46","zeta[1]",-0.05,0.21,-0.41,0.25,1,1115.67
"47","zeta[2]",0.06,0.2,-0.21,0.43,1,1166.17
"48","zeta[3]",-0.04,0.2,-0.39,0.23,1,1091.58
"49","delta[1]",-0.03,0.04,-0.1,0.03,1,3731.97
"50","delta[2]",0.03,0.04,-0.03,0.1,1,3731.97
"51","epsilon[1]",0.16,0.05,0.07,0.24,1,3983.09
"52","epsilon[2]",-0.16,0.05,-0.24,-0.07,1,3983.09
"53","hukou_eff",-0.31,0.1,-0.48,-0.14,1,3983.09
"54","gender_eff",0.06,0.08,-0.06,0.2,1,3732.04
