"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","province"
"1","phi[1]",0.8494476195,0.850869,0.0246457064838532,0.0245333235,0.80648275,0.88692305,1.00040141217226,4489.47406336313,3394.92003735176,"Anhui"
"2","phi[2]",0.80373636375,0.8052645,0.0275565211147638,0.0270559674,0.75524645,0.84598315,1.0019507359257,5802.39327135374,3109.41243585043,"Beijing"
"3","phi[3]",0.7279283995,0.7307235,0.0412696707837493,0.0414505307999999,0.65886925,0.79128425,1.00010242882099,3972.29611059097,2995.51459918865,"Fujian"
"4","phi[4]",0.807326779,0.8097065,0.0386610085412682,0.038347449,0.73900925,0.86675865,1.00196428361218,5011.69924200003,2884.34349751766,"Gansu"
"5","phi[5]",0.7780961595,0.7802,0.0362385821604241,0.034892991,0.7149117,0.8334704,0.999932324034459,5254.10291681844,2966.2910341654,"Guangdong"
"6","phi[6]",0.76934677275,0.7712275,0.0352898542188871,0.0361680270000001,0.71009515,0.8239339,1.00078338414678,6169.7697594751,2749.2706789921,"Guangxi"
"7","phi[7]",0.8189137125,0.8207,0.0396069376429144,0.0394549511999999,0.75076955,0.880548,1.00031442746341,3606.47247403373,2641.99505361386,"Guizhou"
"8","phi[8]",0.783453072,0.788016,0.062043049386173,0.0568369536,0.67596355,0.87498905,1.00048825561123,3692.47462842817,2623.20923377449,"Hainan"
"9","phi[9]",0.815286237,0.8169075,0.0296262500716199,0.0304385193,0.76450735,0.86092025,1.00075180947884,6527.24321236143,3432.89372336374,"Hebei"
"10","phi[10]",0.84102897075,0.8417795,0.0227187427811,0.0231152166,0.8030205,0.876826,0.999925020648343,5462.33624012939,3306.78389957881,"Henan"
"11","phi[11]",0.789293423,0.7904725,0.0261062066039454,0.0260107344000001,0.7440086,0.8299462,1.00080459352078,6423.68861740776,2732.34355379302,"Heilongjiang"
"12","phi[12]",0.77406531,0.775281,0.0276093899080127,0.0269974047,0.7257851,0.81757125,1.00125406232595,5156.29212204161,3371.07823357271,"Hubei"
"13","phi[13]",0.78170327125,0.782894,0.0283835214136853,0.0281123199,0.7335024,0.82687405,1.0004778676085,6765.24837708819,3019.83494443294,"Hunan"
"14","phi[14]",0.85644243725,0.8573475,0.0242004774537779,0.0245703885000001,0.8158907,0.89448045,1.00056666191983,4055.74101852821,3096.33456232529,"Jilin"
"15","phi[15]",0.7936688445,0.795183,0.0292417005867412,0.0282457539,0.74390785,0.8395385,1.00050041916265,5891.29798756047,2747.98820542377,"Jiangsu"
"16","phi[16]",0.77988610425,0.7814015,0.0318499095542992,0.0320211948000002,0.7253145,0.82990715,1.00166576971351,5513.92812542533,3155.57294148539,"Jiangxi"
"17","phi[17]",0.85743709775,0.858919,0.0268250788753428,0.027442926,0.81117975,0.89931235,0.999838810057969,4516.45565623558,3030.82840967113,"Liaoning"
"18","phi[18]",0.8564416245,0.8580155,0.0360693119891528,0.0362555004,0.79549725,0.9140961,1.00080570155872,3006.60988291683,2260.38032744019,"Inner Mongolia"
"19","phi[19]",0.81777810325,0.8210245,0.0482221035717316,0.0460443668999999,0.73094615,0.8901766,1.001506880136,4246.34399076559,2588.66361220601,"Ningxia"
"20","phi[20]",0.8083816875,0.8105695,0.0511799925114855,0.0511986258,0.72067245,0.88843345,1.000555383477,3433.57850438915,2588.19842990353,"Qinghai"
"21","phi[21]",0.862046467,0.862642,0.0241670193757275,0.0242508882,0.82149585,0.9004828,1.00026574508716,2877.57907065032,2721.71264583497,"Shandong"
"22","phi[22]",0.8096879785,0.811226,0.0360057110813779,0.036509025,0.74852365,0.86657135,1.00105143881106,4735.81630842675,2987.33663361763,"Shanxi"
"23","phi[23]",0.76890863925,0.770589,0.0331228120452439,0.0330212085,0.7117146,0.8221316,1.00144092814638,6008.97909473595,3146.4483704122,"Shaanxi"
"24","phi[24]",0.80100764125,0.801662,0.0241310669564083,0.0238839447,0.7597588,0.83911915,0.999902027377384,4293.65283492168,3162.25326419373,"Shanghai"
"25","phi[25]",0.7710651425,0.7716605,0.027220953473679,0.0273569352000001,0.7243543,0.81434785,1.00120083447035,8134.57445989934,2901.47363208192,"Sichuan"
"26","phi[26]",0.8065347565,0.808193,0.0312363162368695,0.0307743282,0.75168515,0.85505385,1.00060740246457,5418.39637719067,3052.39917977529,"Tianjin"
"27","phi[27]",0.80286812,0.810216,0.0581562269010503,0.0520874444999999,0.69799245,0.88641815,1.00068986281869,3889.21320912555,2756.47223321801,"Xinjiang"
"28","phi[28]",0.7899929305,0.791939,0.0342648334869461,0.0331872596999999,0.7315474,0.842656,1.00050754422614,6609.65557774616,2644.6988527653,"Yunnan"
"29","phi[29]",0.773864241,0.775059,0.0333566954091765,0.0330723582000001,0.71747955,0.8256638,0.999767361751392,6703.02157456384,3066.46775201853,"Zhejiang"
"30","phi[30]",0.7131114535,0.7154275,0.0401656109830318,0.0399820155,0.6428012,0.77534135,1.00116757198333,3483.28537977983,2631.0273830745,"Chongqing"
"31","phi[31]",0.80291596425,0.808589,0.0571187662185166,0.0521786243999999,0.6996416,0.8859574,0.999703987229454,3730.82306980322,2838.90018408232,"Tibet"
