"","variable","mean","sd","q5","q95","rhat","ess_bulk"
"1","lp__",-1704.55904,7.19405314677127,-1717.044,-1693.449,1.00372597405429,617.246156808256
"2","alpha",-0.12455375916525,1.61813869330702,-2.7918685,2.5084965,1.00073033989919,2014.9765404251
"3","psi",0.11717406087304,0.195285599656877,-0.2089007,0.4401853,1.0010680096242,1562.62404044201
"4","eta",0.03443102577067,0.10117677385436,-0.1288959,0.20144635,1.00046460965839,1525.18775346431
"5","sigma_beta",0.317242389575,0.0842072695426824,0.18969585,0.46830545,1.00591347728758,637.637170719974
"6","sigma_gamma",0.3486633391025,0.321679556093281,0.0730548,0.96299265,1.00468965659283,723.901078430085
"7","sigma_delta",0.4072955743555,0.894104328578682,0.01178815,1.4350675,1.00140870537422,3194.2725864202
"8","sigma_epsilon",0.79207063865,1.54151307975794,0.11962595,2.254539,1.00002813432243,4588.55185887668
"9","sigma_zeta",0.2473066665575,0.281289157843978,0.01902721,0.774583249999999,1.00408418327022,649.969687868489
"10","beta[1]",0.102705624217238,0.248497694599358,-0.30306455,0.5136408,1.00091421035042,2707.98388488443
"11","beta[2]",-0.163451046735215,0.207668774724876,-0.5163683,0.1623041,1.0020688777345,2755.26566689756
"12","beta[3]",-0.3832422115648,0.221836609417475,-0.7621357,-0.025993435,1.00219847490232,1844.77451532364
"13","beta[4]",-0.0275616948275,0.242803800644456,-0.43023275,0.3717693,1.00095453860142,4656.88294076068
"14","beta[5]",-0.144300225171,0.215107888961029,-0.5042933,0.2041663,1.00077027365078,3763.19639372727
"15","beta[6]",-0.12088894537065,0.200819208680017,-0.46571945,0.20711855,1.00139140952838,3465.37480777988
"16","beta[7]",0.18844470922725,0.258332528748696,-0.20404115,0.63772505,1.00243182952782,3844.01002560693
"17","beta[8]",0.005079154883475,0.326479238171584,-0.54808335,0.53395785,1.00064839594678,4942.28223897771
"18","beta[9]",-0.00896961090825,0.223362520741841,-0.3746561,0.3658388,1.00238711208433,3667.16902972667
"19","beta[10]",0.186739016548125,0.196592795221542,-0.12254195,0.51509985,1.00059751698516,3428.63316489593
"20","beta[11]",-0.15225528206425,0.188069261524681,-0.47333455,0.15044235,1.00182132081142,2501.82996981598
"21","beta[12]",-0.21518761904525,0.199702703834144,-0.55339645,0.10371305,1.00189268563237,2738.21039753488
"22","beta[13]",-0.17701433768415,0.191885220580449,-0.4958469,0.1341974,1.00121095984587,2552.31189731903
"23","beta[14]",0.2449450879765,0.211760862726401,-0.08672633,0.6017625,1.00117101274127,3209.84508669405
"24","beta[15]",-0.08483492552875,0.190291129147387,-0.39720885,0.2245636,1.00258155112122,3386.95525601692
"25","beta[16]",-0.2597160443365,0.201688424439347,-0.60659035,0.0509339599999997,1.0022748865299,2562.61680772764
"26","beta[17]",0.23747996249905,0.228056269303485,-0.1201356,0.61414835,1.00137248702767,3722.41494010107
"27","beta[18]",0.30259327360425,0.286301204978362,-0.12046215,0.8014457,1.00218967775446,3103.64454633286
"28","beta[19]",0.112434770040075,0.299561023382588,-0.355423,0.60872835,1.00459080217179,5373.47121864513
"29","beta[20]",0.19150592587705,0.309621823611523,-0.2953622,0.7130772,1.00086786044976,4011.01405172831
